po_id,supplier_id,component,po_date,promised_date,actual_date,quantity,unit_cost,po_value
PO000091,S0082,Aluminum,2025-10-30,2026-01-07,2026-01-07,254,60.84,15453.36
PO000092,S0013,Brake Assembly,2025-06-26,2025-09-12,2025-09-16,837,420.37,351849.69
PO000093,S0074,Steel,2025-04-19,2025-06-08,2025-06-08,3877,197.67,766366.59
PO000094,S0016,Wiring Harness,2025-05-31,2025-07-08,2025-07-10,5833,552.95,3225357.35
PO000095,S0064,Steel,2025-10-22,2026-01-01,2026-01-07,2702,164.25,443803.5
PO000096,S0030,Infotainment Unit,2025-01-21,2025-02-15,2025-02-20,6926,140.71,974557.46
PO000097,S0024,Sensor,2025-10-05,2025-12-27,2025-12-31,5279,584.43,3085205.97
PO000098,S0072,Tire,2025-08-06,2025-08-16,2025-08-22,8732,355.48,3104051.36
PO000099,S0090,Tire,2025-12-04,2026-02-26,2026-03-01,142,306.46,43517.32
PO000100,S0090,Tire,2025-12-27,2026-03-21,2026-03-24,3238,187.91,608452.58
PO000101,S0042,Sensor,2025-06-02,2025-06-24,2025-06-26,4747,127.57,605574.79
PO000102,S0070,Infotainment Unit,2025-12-11,2026-01-16,2026-01-19,7999,497.48,3979342.52
PO000103,S0030,Infotainment Unit,2025-09-15,2025-10-10,2025-10-17,6812,81.77,557017.24
PO000104,S0048,Aluminum,2025-01-20,2025-04-03,2025-04-08,234,412.32,96482.88
PO000105,S0044,Motor Controller,2025-12-05,2026-01-21,2026-01-24,676,554.97,375159.72
PO000106,S0050,Motor Controller,2025-09-12,2025-11-11,2025-11-16,941,440.81,414802.21
PO000107,S0029,Infotainment Unit,2025-07-27,2025-09-09,2025-09-18,5436,284.38,1545889.68
PO000108,S0090,Tire,2025-03-15,2025-06-07,2025-06-12,7293,108.16,788810.88
PO000109,S0098,Brake Assembly,2025-02-09,2025-03-14,2025-03-14,6390,339.59,2169980.1
PO000110,S0093,Aluminum,2025-07-10,2025-08-29,2025-08-30,600,485.02,291012.0
PO000111,S0063,Motor Controller,2025-01-09,2025-03-22,2025-03-29,6082,35.91,218404.62
PO000112,S0032,Motor Controller,2025-02-15,2025-04-11,2025-04-11,1627,440.71,717035.17
PO000113,S0024,Sensor,2025-06-19,2025-09-10,2025-09-22,5432,499.33,2712360.56
PO000114,S0008,Infotainment Unit,2025-09-30,2025-10-25,2025-10-28,7979,492.1,3926465.9
PO000115,S0067,Sensor,2025-09-05,2025-11-20,2025-11-23,8665,226.69,1964268.85
PO000116,S0004,Steel,2025-01-27,2025-02-05,2025-02-07,2893,179.15,518280.95
PO000117,S0072,Tire,2025-10-31,2025-11-10,2025-11-13,8553,486.24,4158810.72
PO000118,S0021,Wiring Harness,2025-09-24,2025-10-10,2025-10-10,3322,549.2,1824442.4
PO000119,S0057,Motor Controller,2025-02-04,2025-02-12,2025-02-17,4977,383.22,1907285.94
PO000120,S0098,Brake Assembly,2025-07-19,2025-08-21,2025-08-25,5573,149.75,834556.75
PO000121,S0034,Semiconductor,2025-11-28,2026-01-09,2026-01-23,1044,93.94,98073.36
PO000122,S0099,Wiring Harness,2025-10-22,2025-11-17,2025-11-19,6699,276.95,1855288.05
PO000123,S0014,Brake Assembly,2025-05-18,2025-07-18,2025-07-20,8830,369.0,3258270.0
PO000124,S0018,Battery Cell,2025-12-27,2026-02-18,2026-02-18,6734,261.43,1760469.62
PO000125,S0065,Sensor,2025-11-04,2025-12-23,2025-12-28,1973,401.81,792771.13
PO000126,S0013,Brake Assembly,2025-01-28,2025-04-16,2025-04-16,4571,121.13,553685.23
PO000127,S0004,Steel,2025-12-12,2025-12-21,2025-12-22,7454,237.02,1766747.08
PO000128,S0077,Infotainment Unit,2025-09-21,2025-11-09,2025-11-12,8794,122.32,1075682.08
PO000129,S0048,Aluminum,2025-04-16,2025-06-28,2025-06-29,2532,239.81,607198.92
PO000130,S0089,Motor Controller,2025-06-15,2025-08-04,2025-08-12,6087,277.88,1691455.56
PO000131,S0065,Sensor,2025-07-25,2025-09-12,2025-09-17,4672,113.43,529944.96
PO000132,S0085,Wiring Harness,2025-11-20,2026-02-06,2026-02-15,8539,397.73,3396216.47
PO000133,S0051,Tire,2025-01-28,2025-03-10,2025-03-11,4583,379.55,1739477.65
PO000134,S0095,Wiring Harness,2025-12-23,2026-02-02,2026-02-10,8281,297.32,2462106.92
PO000135,S0033,Battery Cell,2025-03-22,2025-06-07,2025-06-09,6117,178.11,1089498.87
PO000136,S0055,Battery Cell,2025-06-28,2025-07-06,2025-07-10,6458,114.98,742540.84
PO000137,S0025,Semiconductor,2025-10-12,2025-12-08,2025-12-12,2332,363.69,848125.08
PO000138,S0098,Brake Assembly,2025-07-02,2025-08-04,2025-08-09,8229,490.3,4034678.7
PO000139,S0034,Semiconductor,2025-02-27,2025-04-10,2025-04-13,3950,576.37,2276661.5
PO000140,S0025,Semiconductor,2025-10-25,2025-12-21,2025-12-30,625,103.22,64512.5
PO000141,S0017,Infotainment Unit,2025-09-09,2025-11-08,2025-11-08,390,590.31,230220.9
PO000142,S0019,Sensor,2025-12-12,2025-12-25,2025-12-25,7069,215.23,1521460.87
PO000143,S0029,Infotainment Unit,2025-07-28,2025-09-10,2025-09-18,1417,311.95,442033.15
PO000144,S0010,Tire,2025-10-03,2025-11-21,2025-11-25,2777,397.07,1102663.39
PO000145,S0099,Wiring Harness,2025-01-01,2025-01-27,2025-02-06,8790,405.84,3567333.6
PO000146,S0053,Wiring Harness,2025-01-09,2025-03-31,2025-04-05,2618,350.74,918237.32
PO000147,S0062,Steel,2025-10-27,2026-01-13,2026-01-20,1237,511.09,632218.33
PO000148,S0099,Wiring Harness,2025-12-03,2025-12-29,2026-01-05,6697,388.81,2603860.57
PO000149,S0041,Semiconductor,2025-08-06,2025-09-11,2025-09-18,7321,425.29,3113548.09
PO000150,S0042,Sensor,2025-04-11,2025-05-03,2025-05-08,1822,570.1,1038722.2
PO000151,S0012,Steel,2025-07-25,2025-08-04,2025-08-10,3887,42.83,166480.21
PO000152,S0058,Motor Controller,2025-08-15,2025-09-15,2025-09-19,5211,391.23,2038699.53
PO000153,S0029,Infotainment Unit,2025-09-01,2025-10-15,2025-10-18,1802,9.01,16236.02
PO000154,S0008,Infotainment Unit,2025-10-23,2025-11-17,2025-11-17,6739,62.66,422265.74
PO000155,S0020,Steel,2025-08-21,2025-10-29,2025-11-02,5998,393.37,2359433.26
PO000156,S0041,Semiconductor,2025-05-11,2025-06-16,2025-06-17,8515,206.51,1758432.65
PO000157,S0048,Aluminum,2025-11-24,2026-02-05,2026-02-08,1055,484.95,511622.25
PO000158,S0093,Aluminum,2025-09-30,2025-11-19,2025-11-20,4604,452.5,2083310.0
PO000159,S0093,Aluminum,2025-03-15,2025-05-04,2025-05-04,6698,462.53,3098025.94
PO000160,S0073,Motor Controller,2025-06-26,2025-08-24,2025-08-28,5176,457.05,2365690.8
PO000161,S0021,Wiring Harness,2025-06-22,2025-07-08,2025-07-18,1582,561.17,887770.94
PO000162,S0063,Motor Controller,2025-05-12,2025-07-23,2025-08-01,5857,414.13,2425559.41
PO000163,S0023,Aluminum,2025-03-17,2025-05-28,2025-05-31,5723,61.51,352021.73
PO000164,S0039,Wiring Harness,2025-10-26,2025-12-04,2025-12-10,7883,281.57,2219616.31
PO000165,S0096,Tire,2025-06-21,2025-07-21,2025-07-29,4710,451.84,2128166.4
PO000166,S0024,Sensor,2025-08-07,2025-10-29,2025-11-07,3691,88.58,326948.78
PO000167,S0027,Wiring Harness,2025-08-29,2025-09-08,2025-09-16,1306,132.01,172405.06
PO000168,S0082,Aluminum,2025-09-17,2025-11-25,2025-11-28,1276,326.23,416269.48
PO000169,S0038,Brake Assembly,2025-06-09,2025-07-03,2025-07-08,7540,271.12,2044244.8
PO000170,S0082,Aluminum,2025-06-02,2025-08-10,2025-08-20,2771,75.86,210208.06
PO000171,S0013,Brake Assembly,2025-09-26,2025-12-13,2025-12-20,4019,291.26,1170573.94
PO000172,S0086,Semiconductor,2025-10-10,2025-12-20,2025-12-20,4275,529.01,2261517.75
PO000173,S0044,Motor Controller,2025-02-03,2025-03-22,2025-03-22,5280,413.11,2181220.8
PO000174,S0092,Aluminum,2025-11-20,2026-01-25,2026-01-25,6358,401.22,2550956.76
PO000175,S0062,Steel,2025-03-06,2025-05-23,2025-06-03,1856,287.12,532894.72
PO000176,S0030,Infotainment Unit,2025-05-11,2025-06-05,2025-06-05,5928,339.62,2013267.36
PO000177,S0092,Aluminum,2025-07-13,2025-09-17,2025-09-23,1165,308.55,359460.75
PO000178,S0007,Infotainment Unit,2025-03-10,2025-03-17,2025-03-23,1774,532.2,944122.8
PO000179,S0025,Semiconductor,2025-12-25,2026-02-20,2026-02-23,4936,168.63,832357.68
PO000180,S0045,Wiring Harness,2025-01-13,2025-03-26,2025-04-01,8940,273.95,2449113.0
PO000181,S0081,Wiring Harness,2025-03-23,2025-06-08,2025-06-18,8045,184.34,1483015.3
PO000182,S0006,Motor Controller,2025-02-08,2025-03-20,2025-03-23,4895,521.53,2552889.35
PO000183,S0028,Sensor,2025-04-20,2025-06-18,2025-06-26,6795,576.36,3916366.2
PO000184,S0096,Tire,2025-04-10,2025-05-10,2025-05-15,5564,54.28,302013.92
PO000185,S0055,Battery Cell,2025-01-23,2025-01-31,2025-02-01,2235,434.05,970101.75
PO000186,S0067,Sensor,2025-10-04,2025-12-19,2025-12-22,7050,596.41,4204690.5
PO000187,S0050,Motor Controller,2025-01-17,2025-03-18,2025-03-18,1416,299.27,423766.32
PO000188,S0088,Motor Controller,2025-02-06,2025-04-01,2025-04-06,4179,287.12,1199874.48
PO000189,S0011,Sensor,2025-02-24,2025-03-30,2025-04-07,5281,355.9,1879507.9
PO000190,S0046,Wiring Harness,2025-12-09,2025-12-21,2025-12-29,8105,558.47,4526399.35
PO000191,S0062,Steel,2025-09-04,2025-11-21,2025-11-21,3458,143.74,497052.92
PO000192,S0084,Motor Controller,2025-02-06,2025-02-28,2025-03-06,5259,385.84,2029132.56
PO000193,S0067,Sensor,2025-03-13,2025-05-28,2025-06-12,2558,484.89,1240348.62
PO000194,S0045,Wiring Harness,2025-01-17,2025-03-30,2025-04-01,4323,206.19,891359.37
PO000195,S0003,Aluminum,2025-08-03,2025-10-16,2025-10-29,6615,179.69,1188649.35
PO000196,S0028,Sensor,2025-02-11,2025-04-11,2025-04-20,2062,579.23,1194372.26
PO000197,S0077,Infotainment Unit,2025-02-16,2025-04-06,2025-04-13,2970,363.75,1080337.5
PO000198,S0067,Sensor,2025-01-17,2025-04-03,2025-04-10,6892,518.01,3570124.92
PO000199,S0034,Semiconductor,2025-04-21,2025-06-02,2025-06-02,7364,247.63,1823547.32
PO000200,S0073,Motor Controller,2025-04-03,2025-06-01,2025-06-01,4734,468.14,2216174.76
PO000201,S0005,Semiconductor,2025-04-09,2025-05-28,2025-06-02,6018,11.6,69808.8
PO000202,S0008,Infotainment Unit,2025-10-06,2025-10-31,2025-11-03,4143,573.84,2377419.12
PO000203,S0077,Infotainment Unit,2025-05-21,2025-07-09,2025-07-19,8015,63.0,504945.0
PO000204,S0090,Tire,2025-01-13,2025-04-07,2025-04-09,2281,127.91,291762.71
PO000205,S0068,Infotainment Unit,2025-08-29,2025-10-24,2025-10-29,4286,213.03,913046.58
PO000206,S0078,Semiconductor,2025-11-27,2025-12-13,2025-12-16,3553,526.42,1870370.26
PO000207,S0045,Wiring Harness,2025-01-21,2025-04-03,2025-04-03,3482,316.04,1100451.28
PO000208,S0009,Tire,2025-04-04,2025-05-22,2025-06-02,534,115.43,61639.62
PO000209,S0063,Motor Controller,2025-03-19,2025-05-30,2025-06-01,7627,254.97,1944656.19
PO000210,S0043,Infotainment Unit,2025-01-19,2025-03-25,2025-03-25,5794,303.54,1758710.76
PO000211,S0005,Semiconductor,2025-03-08,2025-04-26,2025-05-06,6897,250.61,1728457.17
PO000212,S0005,Semiconductor,2025-03-05,2025-04-23,2025-04-27,7138,441.78,3153425.64
PO000213,S0069,Tire,2025-05-20,2025-05-27,2025-06-04,1680,397.5,667800.0
PO000214,S0064,Steel,2025-02-08,2025-04-20,2025-04-25,3982,486.05,1935451.1
PO000215,S0049,Steel,2025-03-06,2025-05-16,2025-05-18,4424,73.81,326535.44
PO000216,S0040,Motor Controller,2025-12-23,2025-12-30,2026-01-07,5652,313.63,1772636.76
PO000217,S0043,Infotainment Unit,2025-09-10,2025-11-14,2025-11-16,327,558.81,182730.87
PO000218,S0039,Wiring Harness,2025-01-07,2025-02-15,2025-02-21,8449,329.18,2781241.82
PO000219,S0088,Motor Controller,2025-07-13,2025-09-05,2025-09-05,8498,427.36,3631705.28
PO000220,S0089,Motor Controller,2025-09-22,2025-11-11,2025-11-21,8788,495.22,4351993.36
PO000221,S0029,Infotainment Unit,2025-07-03,2025-08-16,2025-08-23,2270,446.01,1012442.7
PO000222,S0071,Infotainment Unit,2025-09-02,2025-09-12,2025-09-19,2167,387.36,839409.12
PO000223,S0011,Sensor,2025-12-04,2026-01-07,2026-01-07,4565,320.74,1464178.1
PO000224,S0065,Sensor,2025-11-07,2025-12-26,2026-01-06,4045,289.29,1170178.05
PO000225,S0005,Semiconductor,2025-01-20,2025-03-10,2025-03-13,133,341.9,45472.7
PO000226,S0075,Aluminum,2025-12-07,2026-02-14,2026-02-17,3112,426.44,1327081.28
PO000227,S0050,Motor Controller,2025-08-19,2025-10-18,2025-10-21,3068,195.09,598536.12
PO000228,S0086,Semiconductor,2025-03-25,2025-06-04,2025-06-08,5121,31.11,159314.31
PO000229,S0018,Battery Cell,2025-02-22,2025-04-16,2025-04-16,8454,536.52,4535740.08
PO000230,S0022,Battery Cell,2025-02-21,2025-03-05,2025-03-18,2109,464.83,980326.47
PO000231,S0086,Semiconductor,2025-04-19,2025-06-29,2025-07-09,959,58.46,56063.14
PO000232,S0072,Tire,2025-04-06,2025-04-16,2025-04-24,3927,404.01,1586547.27
PO000233,S0091,Battery Cell,2025-11-14,2025-11-27,2025-12-05,3670,526.53,1932365.1
PO000234,S0020,Steel,2025-10-08,2025-12-16,2025-12-19,1411,120.8,170448.8
PO000235,S0022,Battery Cell,2025-07-01,2025-07-13,2025-07-17,3220,29.03,93476.6
PO000236,S0041,Semiconductor,2025-06-13,2025-07-19,2025-07-22,4958,154.27,764870.66
PO000237,S0060,Steel,2025-06-21,2025-08-12,2025-08-17,323,462.41,149358.43
PO000238,S0054,Tire,2025-01-31,2025-02-07,2025-02-07,243,219.76,53401.68
PO000239,S0048,Aluminum,2025-07-11,2025-09-22,2025-09-26,5375,312.75,1681031.25
PO000240,S0049,Steel,2025-02-03,2025-04-15,2025-04-15,916,21.25,19465.0
PO000241,S0035,Steel,2025-09-13,2025-11-19,2025-11-22,2857,502.82,1436556.74
PO000242,S0041,Semiconductor,2025-12-28,2026-02-02,2026-02-12,8955,429.92,3849933.6
PO000243,S0029,Infotainment Unit,2025-04-28,2025-06-11,2025-06-18,8213,394.14,3237071.82
PO000244,S0028,Sensor,2025-04-03,2025-06-01,2025-06-09,2805,410.22,1150667.1
PO000245,S0017,Infotainment Unit,2025-04-24,2025-06-23,2025-06-23,8545,92.28,788532.6
PO000246,S0004,Steel,2025-04-09,2025-04-18,2025-04-19,7373,220.18,1623387.14
PO000247,S0085,Wiring Harness,2025-12-20,2026-03-08,2026-03-10,8233,225.06,1852918.98
PO000248,S0045,Wiring Harness,2025-02-07,2025-04-20,2025-04-25,4749,416.53,1978100.97
PO000249,S0023,Aluminum,2025-09-06,2025-11-17,2025-11-24,7173,377.77,2709744.21
PO000250,S0006,Motor Controller,2025-01-18,2025-02-27,2025-03-08,7357,20.17,148390.69
PO000251,S0050,Motor Controller,2025-08-08,2025-10-07,2025-10-12,3577,414.26,1481808.02
PO000252,S0087,Brake Assembly,2025-10-08,2025-12-15,2025-12-25,7048,226.97,1599684.56
PO000253,S0046,Wiring Harness,2025-03-10,2025-03-22,2025-03-28,1561,174.71,272722.31
PO000254,S0010,Tire,2025-07-16,2025-09-03,2025-09-04,7211,372.23,2684150.53
PO000255,S0031,Battery Cell,2025-05-31,2025-07-22,2025-07-25,3707,488.84,1812129.88
PO000256,S0089,Motor Controller,2025-07-15,2025-09-03,2025-09-04,8554,575.34,4921458.36
PO000257,S0086,Semiconductor,2025-12-30,2026-03-11,2026-03-15,6388,335.8,2145090.4
PO000258,S0090,Tire,2025-04-09,2025-07-02,2025-07-16,8442,333.33,2813971.86
PO000259,S0072,Tire,2025-11-02,2025-11-12,2025-11-16,8170,384.24,3139240.8
PO000260,S0081,Wiring Harness,2025-04-02,2025-06-18,2025-06-23,7690,249.6,1919424.0
PO000261,S0007,Infotainment Unit,2025-02-01,2025-02-08,2025-02-08,3552,477.89,1697465.28
PO000262,S0029,Infotainment Unit,2025-02-01,2025-03-17,2025-03-19,581,234.01,135959.81
PO000263,S0009,Tire,2025-08-15,2025-10-02,2025-10-20,5246,200.23,1050406.58
PO000264,S0034,Semiconductor,2025-09-26,2025-11-07,2025-11-10,6807,14.1,95978.7
PO000265,S0080,Infotainment Unit,2025-02-21,2025-03-06,2025-03-18,5008,566.97,2839385.76
PO000266,S0021,Wiring Harness,2025-07-21,2025-08-06,2025-08-09,8350,110.16,919836.0
PO000267,S0037,Infotainment Unit,2025-07-02,2025-08-16,2025-08-25,805,146.6,118013.0
PO000268,S0098,Brake Assembly,2025-03-30,2025-05-02,2025-05-06,5054,68.3,345188.2
PO000269,S0060,Steel,2025-10-28,2025-12-19,2025-12-22,5031,448.59,2256856.29
PO000270,S0004,Steel,2025-09-02,2025-09-11,2025-09-17,1900,59.73,113487.0
PO000271,S0099,Wiring Harness,2025-11-03,2025-11-29,2025-12-06,5991,94.82,568066.62
PO000272,S0033,Battery Cell,2025-07-19,2025-10-04,2025-10-08,5133,211.86,1087477.38
PO000273,S0007,Infotainment Unit,2025-03-14,2025-03-21,2025-03-29,225,599.23,134826.75
PO000274,S0005,Semiconductor,2025-12-29,2026-02-16,2026-02-26,2549,514.09,1310415.41
PO000275,S0094,Battery Cell,2025-09-24,2025-12-16,2025-12-18,3468,161.5,560082.0
PO000276,S0057,Motor Controller,2025-04-01,2025-04-09,2025-04-14,3627,340.09,1233506.43
PO000277,S0028,Sensor,2025-03-04,2025-05-02,2025-05-06,6791,537.27,3648600.57
PO000278,S0079,Brake Assembly,2025-03-13,2025-05-01,2025-05-06,4943,187.31,925873.33
PO000279,S0007,Infotainment Unit,2025-05-08,2025-05-15,2025-05-18,5847,102.25,597855.75
PO000280,S0041,Semiconductor,2025-07-20,2025-08-25,2025-09-04,5383,103.8,558755.4
PO000281,S0053,Wiring Harness,2025-05-22,2025-08-11,2025-08-16,5571,370.64,2064835.44
PO000282,S0037,Infotainment Unit,2025-07-02,2025-08-16,2025-08-21,975,353.18,344350.5
PO000283,S0067,Sensor,2025-01-12,2025-03-29,2025-04-11,347,177.44,61571.68
